"Connect using 
""PLX-DAQ Simple Test""";;;;;;;;;
16:32:41;;7;;;;;;;
16:32:43;;7;;;;;;;
16:32:45;;7;;;;;;;
16:32:47;;7;;;;;;;
16:32:48;;7;;;;;;;
16:32:50;;7;;;;;;;
16:32:52;;7;;;;;;;
16:32:54;;7;;;;;;;
16:32:55;;7;;;;;;;
16:32:57;;7;;;;;;;
16:32:59;;6;;;;;;;
16:33:01;;7;;;;;;;
16:33:02;;7;;;;;;;
16:33:04;;7;;;;;;;
16:33:06;;7;;;;;;;
16:33:08;;7;;;;;;;
16:33:10;;6;;;;;;;
16:33:11;;7;;;;;;;
16:33:13;;7;;;;;;;
16:33:15;;7;;;;;;;
16:33:17;;5;;;;;;;
16:33:18;;7;;;;;;;
16:33:20;;7;;;;;;;
16:33:22;;7;;;;;;;
16:33:24;;7;;;;;;;
16:33:25;;7;;;;;;;
16:33:27;;7;;;;;;;
16:33:29;;7;;;;;;;
16:33:31;;6;;;;;;;
16:33:32;;6;;;;;;;
16:33:34;;7;;;;;;;
16:33:36;;8;;;;;;;
16:33:38;;7;;;;;;;
16:33:39;;7;;;;;;;
16:33:41;;7;;;;;;;
16:33:43;;18;;;;;;;
16:56:22;;28;;;;;;;
16:56:27;;12;;;;;;;
16:56:29;;24;;;;;;;
16:56:31;;23;;;;;;;
16:56:32;;23;;;;;;;
16:56:34;;23;;;;;;;
16:56:36;;22;;;;;;;
16:56:38;;14;;;;;;;
16:56:40;;11;;;;;;;
16:56:41;;14;;;;;;;
16:56:43;;14;;;;;;;
16:56:45;;14;;;;;;;
16:56:47;;13;;;;;;;
16:56:48;;13;;;;;;;
16:56:50;;13;;;;;;;
16:56:52;;13;;;;;;;
16:56:54;;13;;;;;;;
16:56:55;;13;;;;;;;
16:56:57;;13;;;;;;;
16:56:59;;13;;;;;;;
16:57:01;;13;;;;;;;
16:57:02;;13;;;;;;;
16:57:04;;12;;;;;;;
16:57:06;;12;;;;;;;
16:57:08;;13;;;;;;;
16:57:09;;13;;;;;;;
16:57:11;;14;;;;;;;
16:57:13;;14;;;;;;;
16:57:15;;14;;;;;;;
16:57:16;;14;;;;;;;
16:57:18;;13;;;;;;;
16:57:20;;13;;;;;;;
16:57:22;;14;;;;;;;
16:57:23;;14;;;;;;;
16:57:25;;14;;;;;;;
16:57:27;;14;;;;;;;
16:57:29;;14;;;;;;;
16:57:30;;14;;;;;;;
16:57:32;;14;;;;;;;
16:57:34;;14;;;;;;;
16:57:36;;14;;;;;;;
16:57:38;;14;;;;;;;
16:57:39;;14;;;;;;;
